Evaluation,Start,Kp,Ki,Kd,Objective,TrackingCost,AmplitudeCost,A_Saturation_pct,SuccessfulCases,FailedCases,Status,Timestamp
129,2,0.027415381854636,1.11406037738666e-06,1.01332957653486e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:54:48
130,2,0.0273801777883644,1.11347381979638e-06,1.01272216805453e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:55:32
131,2,0.0272438286039334,1.11313392074501e-06,1.01213608058293e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:56:17
132,2,0.0273461241887954,1.11338883579191e-06,1.01257303031734e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:57:02
133,2,0.0272603035488888,1.11292578125064e-06,1.01199706338171e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:57:47
134,2,0.0273134438655211,1.11282384886485e-06,1.01247904104571e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:58:32
135,2,0.0272958099505966,1.11253084265398e-06,1.0121914865329e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:59:16
136,2,0.0272275692220847,1.11236101753967e-06,1.01190740225024e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:00:01
137,2,0.0272787581379889,1.11248838406652e-06,1.01211983294252e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:00:45
138,2,0.0272358099012334,1.11225701181852e-06,1.01183901275231e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:01:31
139,2,0.0272623993189559,1.11220607361131e-06,1.01207445579128e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:02:16
140,2,0.0272535744553876,1.11205963860971e-06,1.01193454937042e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:03:02
141,2,0.0272194376407401,1.11197475714025e-06,1.01179469245237e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:03:47
142,2,0.0272450423372422,1.11203841766531e-06,1.01189942962277e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:04:31
143,2,0.0272235587805216,1.11192277027964e-06,1.01176077402115e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:05:16
144,2,0.0272368582876208,1.11189730816991e-06,1.01187713480123e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:06:02
145,2,0.0272324438874059,1.11182410768979e-06,1.01180812917068e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:06:48
146,2,0.0272153713779912,1.1117816747251e-06,1.01173874032559e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:07:33
147,2,0.0272281762805711,1.11181349930438e-06,1.01179074340211e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:08:20
148,2,0.0272174321477509,1.11175568529397e-06,1.01172184976146e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:09:05
149,2,0.0272240830987774,1.11174295598725e-06,1.01177969313051e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:09:49
150,2,0.0272218754075775,1.1117063600017e-06,1.01174542473631e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:10:34
151,2,0.0272133381286637,1.11168514546163e-06,1.01171086438924e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:11:19
152,2,0.0272197412178711,1.11170105633063e-06,1.01173677505024e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:12:03
153,2,0.0272143685634879,1.11167215174576e-06,1.01170243621682e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:12:46
154,2,0.0272176943381097,1.11166578752939e-06,1.01173127403851e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:13:30
155,2,0.0272165903698637,1.11164749060016e-06,1.01171419814005e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:14:14
156,3,0.01,5e-06,1e-08,2033581.10395521,2033581.10390682,4.8385256342661e-05,0,1,0,valid,2026-08-06 14:15:43
157,3,0.0109738484717709,5e-06,1e-08,2024229.1121416,2024229.11208601,5.55886367483645e-05,0,1,0,valid,2026-08-06 14:16:29
158,3,0.01,5.56352428422269e-06,1e-08,2031009.79653764,2031009.79648728,5.03677171254727e-05,0,1,0,valid,2026-08-06 14:17:15
159,3,0.01,5e-06,8.29354908831333e-09,2033581.10395514,2033581.10390676,4.83852563427077e-05,0,1,0,valid,2026-08-06 14:17:59
160,3,0.0106441897133048,5.37003725142009e-06,8.82213594445621e-09,2025702.60773762,2025702.60768317,5.44549439346886e-05,0,1,0,valid,2026-08-06 14:18:44
161,3,0.0110848214821342,5.62930307760504e-06,1.11204874113372e-08,2020015.67972676,2020015.67966793,5.88280648894178e-05,0,1,0,valid,2026-08-06 14:19:28
162,3,0.011647594648677,5.96801286350465e-06,1.29377691781778e-08,2012401.72002179,2012401.71995711,6.46728596379855e-05,0,1,0,valid,2026-08-06 14:20:13
163,3,0.0122230284392892,5.30681042166422e-06,1.08853763788952e-08,2009777.9725058,2009777.97243911,6.66883795239007e-05,0,1,0,valid,2026-08-06 14:20:57
164,3,0.0134088537422576,5.18223434748342e-06,1.13614014200901e-08,1997573.92112763,1997573.92105159,7.60455556811187e-05,0,1,0,valid,2026-08-06 14:21:42
165,3,0.0134088537422576,5.37003725142009e-06,1.47662663674711e-08,1996537.19365106,1996537.19357422,7.68391478743912e-05,0,1,0,valid,2026-08-06 14:22:27
166,3,0.0148855925370488,5.37003725142009e-06,1.93637189406661e-08,1979466.26114349,1979466.26105361,8.98868990481026e-05,0,1,0,valid,2026-08-06 14:23:11
167,3,0.0157696221449964,6.03774787764965e-06,2.02757490185822e-08,1964836.3940985,1964836.39399745,0.000101045829948454,0,1,0,valid,2026-08-06 14:23:55
168,3,0.0183613689602315,6.62025947488199e-06,2.9549321473693e-08,1928009.51512734,1928009.5149983,0.00012903537031544,0,1,0,valid,2026-08-06 14:24:40
169,3,0.0196800148142843,5.43389565113462e-06,2.68568232228522e-08,1918366.7502144,1918366.75007806,0.000136340483090475,0,1,0,valid,2026-08-06 14:25:29
