Evaluation,Start,Kp,Ki,Kd,Objective,TrackingCost,AmplitudeCost,A_Saturation_pct,SuccessfulCases,FailedCases,Status,Timestamp
240,4,0.0202884095290986,3.06823816145801e-05,1.00057581198861e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:23:12
241,4,0.0208654337135629,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:23:56
242,4,0.02,3.20730410909327e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:24:41
243,4,0.02,3e-05,1.00057581198861e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:25:30
244,4,0.0205769119590017,3.13734215972289e-05,9.9942451938003e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:41:13
245,4,0.0201441885248353,3.03401037628348e-05,1.00028786456158e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:41:58
246,4,0.0204326537473897,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:42:47
247,4,0.02,3.10268241306669e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:43:43
248,4,0.02,3e-05,1.00028786456158e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:44:37
249,4,0.0202884095290986,3.06823816145801e-05,9.99712218280574e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:45:32
250,4,0.0200720896217056,3.01697795426173e-05,1.00014392192407e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:46:57
251,4,0.0202162955471521,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:47:57
252,4,0.02,3.05109715098278e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:49:22
253,4,0.02,3e-05,1.00014392192407e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:50:36
254,4,0.0201441885248353,3.03401037628348e-05,9.99856098786474e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:56:36
255,4,0.0200360435779319,3.00848216153942e-05,1.00007195837303e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:57:21
256,4,0.0201081379857944,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:58:06
257,4,0.02,3.02548736395256e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:58:51
258,4,0.02,3e-05,1.00007195837303e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:59:37
259,4,0.0200720896217056,3.01697795426173e-05,9.99928046804601e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:00:21
260,4,0.020018021471634,3.00423937598791e-05,1.00003597853929e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:01:06
261,4,0.0200540663006878,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:01:51
262,4,0.02,3.01272835488844e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:02:35
263,4,0.02,3e-05,1.00003597853929e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:03:20
264,4,0.0200360435779319,3.00848216153942e-05,9.99964022755119e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:04:05
265,4,0.0200090106553457,3.0021192616884e-05,1.00001798910784e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:04:49
266,4,0.0200270324465881,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:05:35
267,4,0.02,3.00636034267842e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:06:19
268,4,0.02,3e-05,1.00001798910784e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:07:03
269,4,0.020018021471634,3.00423937598791e-05,9.99982011215762e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:07:47
270,4,0.0200045053074127,3.00105952425408e-05,1.00000899451347e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:08:30
271,4,0.0200135160435143,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:09:14
272,4,0.02,3.00317921227551e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:09:58
273,4,0.02,3e-05,1.00000899451347e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:10:43
274,4,0.0200090106553457,3.0021192616884e-05,9.99991005567431e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:11:27
275,4,0.0200022526486235,3.00052973547779e-05,1.00000449724662e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:12:11
276,4,0.020006757976332,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:12:55
277,4,0.02,3.00158936632542e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:13:39
278,4,0.02,3e-05,1.00000449724662e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:14:22
279,4,0.0200045053074127,3.00105952425408e-05,9.99995502773602e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:15:06
280,4,0.0200011263230388,3.00026486107637e-05,1.00000224862078e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:15:50
281,4,0.0200033789767496,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:16:34
282,4,0.02,3.00079462320384e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:17:19
283,4,0.02,3e-05,1.00000224862078e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:18:03
284,4,0.0200022526486235,3.00052973547779e-05,9.99997751384273e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:18:47
285,4,0.0200005631612009,3.00013242887252e-05,1.00000112430976e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:19:31
286,4,0.0200016894855132,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:20:14
287,4,0.02,3.00039729661147e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:20:59
288,4,0.02,3e-05,1.00000112430976e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:21:43
289,4,0.0200011263230389,3.00026486107637e-05,9.99998875691504e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:22:32
290,4,0.0200002815805208,3.00006621401985e-05,1.00000056215472e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:23:16
291,4,0.0200008447420403,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:24:00
292,4,0.02,3.00019864455804e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:24:43
293,4,0.02,3e-05,1.00000056215472e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:25:27
294,5,0.03,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:26:56
295,5,0.0319255243040288,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:27:40
296,5,0.03,0.000109017470633053,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:28:24
297,5,0.03,0.0001,0.000120575641302844,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:29:08
298,5,0.0312965718074406,0.000106051581579267,8.25045882783005e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:29:53
299,5,0.0303288399112198,0.000101526680650058,0.000109878938918584,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:30:37
300,5,0.0309771832324065,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:31:21
301,5,0.03,0.000104552962572714,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:32:06
302,5,0.03,0.0001,0.000109878938918584,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:32:50
303,5,0.0306545874381221,0.000103044501890877,9.08907799639627e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:33:35
304,5,0.0301648026420213,0.000100764415649599,0.000104840282183206,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:34:19
305,5,0.0304921040231452,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:35:03
306,5,0.03,0.000102286730486896,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:35:47
307,5,0.03,0.0001,0.000104840282183206,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:36:31
308,5,0.0303288399112198,0.000101526680650058,9.53521263496227e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:37:15
309,5,0.0300824964964803,0.00010038247257527,0.000102395719092733,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:38:00
310,5,0.0302469174405072,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:38:44
311,5,0.03,0.00010114582104226,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:39:28
312,5,0.03,0.0001,0.000102395719092733,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:40:13
313,5,0.0301648026420213,0.000100764415649599,9.7652381715755e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:40:57
314,5,0.0300412719792476,0.000100191301960933,0.000101191800618848,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:41:43
315,5,0.0301236734257369,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:42:27
316,5,0.03,0.000100573510813163,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:43:11
317,5,0.03,0.0001,0.000101191800618848,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:43:55
318,5,0.0300824964964803,0.00010038247257527,9.88202245004714e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:44:39
319,5,0.0300206419144653,0.000100095667334237,0.000100594391381248,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:45:24
320,5,0.030061890178511,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:46:08
321,5,0.03,0.000100286903750904,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:46:53
322,5,0.03,0.0001,0.000100594391381248,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:47:38
323,5,0.0300412719792476,0.000100191301960933,9.94086148934065e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:48:22
324,5,0.030010322437451,0.000100047837747475,0.00010029681918292,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:49:07
325,5,0.030030958429058,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:49:50
326,5,0.03,0.000100143488744108,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:50:35
327,5,0.03,0.0001,0.00010029681918292,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:51:19
328,5,0.0300206419144653,0.000100095667334237,9.970393238542e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:52:04
329,5,0.0300051615886558,0.000100023919892815,0.000100148315555006,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:52:48
330,5,0.0300154825461369,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 17:54:53
331,5,0.03,0.000100071753561956,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 18:17:17
332,5,0.03,0.0001,0.000100148315555006,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 18:37:21
333,5,0.0300103224374509,0.000100047837747475,9.98518723370586e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 18:56:20
334,5,0.0300025808867949,0.00010001196020105,0.000100074134279694,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:10:00
335,5,0.0300077421055515,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:10:46
336,5,0.03,0.000100035879075041,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:11:30
337,5,0.03,0.0001,0.000100074134279694,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:12:15
338,5,0.0300051615886558,0.000100023919892815,9.99259126933207e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:13:00
339,5,0.0300012904665123,0.00010000598016417,0.000100037061266807,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:13:46
340,5,0.0300038712608441,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:14:31
341,5,0.03,0.000100017940110609,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:15:16
342,5,0.03,0.0001,0.000100037061266807,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:16:01
343,5,0.0300025808867949,0.00010001196020105,9.99629504764461e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:16:45
344,5,0.0300006452390346,0.000100002990097994,0.00010001852916532,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:17:29
345,5,0.0300019356824326,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:18:13
346,5,0.03,0.000100008970198524,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:18:57
347,5,0.03,0.0001,0.00010001852916532,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:19:41
348,5,0.0300012904665123,0.00010000598016417,9.99814737704928e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:20:26
349,5,0.0300003226209619,0.000100001495052974,0.000100009264215661,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:21:11
350,5,0.0300009678542181,0.0001,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:21:55
351,5,0.03,0.00010000448513506,9.99999999999998e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:22:39
352,5,0.03,0.0001,0.000100009264215661,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 19:23:23
